Year,,2016,2016,2012,2012,2008,2008,2004,2004,2000,2000
State,State Abbrv,d,r,d,r,d,r,d,r,d,r
Nationwide,,48,45.9,51,47.1,52.9,45.6,48.3,50.7,48.4,47.9
Alabama,AL,34.4,62.1,38.4,60.5,38.7,60.3,36.8,62.5,41.6,56.5
Alaska,AK,36.6,51.3,40.8,54.8,37.9,59.4,35.5,61.1,27.7,58.6
Arizona,AZ,44.6,48.1,44.4,53.5,44.9,53.4,44.3,54.8,44.7,51
Arkansas,AR,33.7,60.6,36.9,60.6,38.9,58.7,44.5,54.3,45.9,51.3
California,CA,61.5,31.5,60.2,37.1,60.9,36.9,54.3,44.4,53.4,41.7
Colorado,CO,48.2,43.3,51.4,46.1,53.7,44.7,47,51.7,42.4,50.8
Connecticut,CT,54.6,40.9,58.1,40.7,60.6,38.2,54.3,43.9,55.9,38.4
Delaware,DE,53.1,41.7,58.6,40,61.9,36.9,53.3,45.7,55,41.9
Florida,FL,47.4,48.6,49.9,49,50.9,48.1,47.1,52.1,48.8,48.8
Georgia,GA,45.3,50.4,45.4,53.2,46.9,52.1,41.3,57.9,43,54.7
Hawaii,HI,62.2,30,70.5,27.8,71.8,26.6,54,45.3,55.8,37.5
Idaho,ID,27.5,59.2,32.4,64.1,35.9,61.2,30.3,68.4,27.6,67.2
Illinois,IL,55.2,38.4,57.5,40.7,61.8,36.7,54.8,44.5,54.6,42.6
Indiana,IN,37.5,56.5,43.8,54,49.8,48.8,39.3,59.9,41,56.6
Iowa,IA,41.7,51.1,52,46.2,53.9,44.4,49.2,49.9,48.5,48.2
Kansas,KS,35.7,56.2,38,59.7,41.6,56.5,36.6,62,37.2,58
Kentucky,KY,32.7,62.5,37.8,60.5,41.1,57.4,39.7,59.5,41.4,56.5
Louisiana,LA,38.4,58.1,40.6,57.8,39.9,58.6,42.2,56.7,44.9,52.6
Maine,ME,47.8,44.9,56.3,41,57.7,40.4,53.6,44.6,49.1,44
Maryland,MD,60.3,33.9,62,35.9,61.9,36.5,55.9,42.9,56.6,40.2
Massachusetts,MA,60,32.8,60.7,37.5,61.8,36,61.9,36.8,59.8,32.5
Michigan,MI,47,47.3,54,44.6,57.3,40.9,51.2,47.8,51.3,46.1
Minnesota,MN,46.4,44.9,52.7,45,54.1,43.8,51.1,47.6,47.9,45.5
Mississippi,MS,40.1,57.9,43.8,55.3,43,56.2,39.8,59.4,40.7,57.6
Missouri,MO,37.9,56.4,44.3,53.6,49.2,49.4,46.1,53.3,47.1,50.4
Montana,MT,35.4,55.6,41.7,55.3,47.1,49.5,38.6,59.1,33.4,58.4
Nebraska,NE,33.7,58.7,38,59.8,41.6,56.5,32.7,65.9,33.3,62.2
Nevada,NV,47.9,45.5,52.4,45.7,55.1,42.7,47.9,50.5,46,49.5
New Hampshire,NH,46.8,46.5,52,46.4,54.1,44.5,50.2,48.9,46.8,48.1
New Jersey,NJ,55,41,58.2,40.5,57.1,41.6,52.9,46.2,56.1,40.3
New Mexico,NM,48.3,40,53,42.8,56.9,41.8,49,49.8,47.9,47.8
New York,NY,59,36.5,63.3,35.2,62.9,36,58.4,40.1,60.2,35.2
North Carolina,NC,46.2,49.8,48.4,50.4,49.7,49.4,43.6,56,43.2,56
North Dakota,ND,27.2,63,38.7,58.3,44.5,53.2,35.5,62.9,33.1,60.7
Ohio,OH,43.2,51.3,50.6,47.6,51.4,46.8,48.7,50.8,46.5,50
Oklahoma,OK,28.9,65.3,33.2,66.8,34.4,65.6,34.4,65.6,38.4,60.3
Oregon,OR,50.1,39.1,54.2,42.1,56.7,40.4,51.3,47.2,47,46.5
Pennsylvania,PA,47.5,48.2,52,46.6,54.5,44.2,50.9,48.4,50.6,46.4
Rhode Island,RI,54.4,38.9,62.7,35.2,62.9,35.1,59.4,38.7,61,31.9
South Carolina,SC,40.7,54.9,44.1,54.6,44.9,53.9,40.9,58,40.9,56.8
South Dakota,SD,31.7,61.5,39.9,57.9,44.7,53.2,38.4,59.9,37.6,60.3
Tennessee,TN,34.7,60.7,39,59.4,41.8,56.8,42.5,56.8,47.3,51.1
Texas,TX,43.2,52.2,41.4,57.1,43.6,55.4,38.2,61.1,38,59.3
Utah,UT,27.2,45.1,24.7,72.5,34.2,62.2,26,71.5,26.3,66.8
Vermont,VT,56.7,30.3,66.6,31,67.5,30.4,58.9,38.8,50.6,40.7
Virginia,VA,49.8,44.4,51.2,47.3,52.6,46.3,45.5,53.7,44.4,52.5
Washington,WA,52.5,36.8,55.8,41,57.3,40.3,52.8,45.6,50.1,44.6
West Virginia,WV,26.2,67.9,35.5,62.1,42.5,55.6,43.2,56.1,45.6,51.9
Wisconsin,WI,46.5,47.2,52.8,45.9,56.2,42.3,49.7,49.3,47.8,47.6
Wyoming,WY,21.9,68.2,27.8,68.6,32.5,64.8,29.1,68.9,27.7,67.8
Washington DC,DC,90.9,4.1,90.9,7.3,92.5,6.5,89.2,9.3,85.2,9